Area Name,Rural/Urban,Total Population,Good Households,Livable Households,Dilapidated Households,Tapwater from treated source,Tapwater from un-treated source,Covered well,Un-covered well,Handpump,Tubewell/Borehole,drinking water from Spring,Drinking water form River/Canal,Drinking water form Tank/Pond/Lake,Sources of Lighting -Electricity,Sources of Lighting - Kerosene,Sources of Lighting -Solar energy,No lighting,Number of households having latrine facility within the premises,Piped sewer system,Septic tank,Other system,With slab/ventilated improved pit,Without slab/  open pit,Number of households not having latrine facility within the premises,Public latrine,Bathroom,Enclosure without roof,Waste Water Closed drainage,Waste Water Open drainage,Good Fuels,Bad Fuels,Total number of households availing banking services,Radio/Transistor,Television,Computer/Laptop With Internet,Computer/Laptop Without Internet,Landline only,Mobile only,Both Mobile and Landline,Bicycle,Scooter/ Motorcycle/Moped,Car/ Jeep/Van,"Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",Types of Structure of houses-Permanent,Types of Structure of houses-Semi-Permanent,Types of Structure of houses-Total Temporary,Types of Structure of houses-Serviceable,Types of Structure of houses Non-Serviceable,Types of Structure of houses Unclassifiable
Sub-Dist - Bawani Khera,Rural,106746,40.6,53.2,6.2,60.2,4.1,1.5,15.5,13.7,2.1,0,0.3,0.3,86.3,12.4,0.2,0.4,58.9,2.9,27,2.5,25.3,1.2,41.1,1.2,63,13.5,3.1,83.5,19.4,0.2,59.7,20.8,55.9,0.9,5.3,3.1,67,3.5,40.8,19.1,3.6,1.8,47.1,50.1,2.3,2,0.3,0.4
Sub-Dist - Bawani Khera,Urban,20289,41.9,54.2,3.9,81.1,2.9,0.3,12.7,1.2,0.6,0,0.1,0.1,82.2,14.9,0.2,0.7,55.5,0.9,6.2,42.6,5.7,0.1,44.5,0.2,61.6,13.8,3.4,86.4,32.5,0.4,52.8,15.7,64.7,1,4.1,5.6,68.8,2.3,44.4,17.9,2.7,1.8,49.1,48.9,2,1.7,0.3,0
Rohnat (35),Rural,3785,39.2,53.7,7.1,61.1,3.3,2.4,30.4,1.7,0.3,0,0.6,0.3,88.4,10.9,0.1,0.6,35.9,0.1,21.2,0,14.6,0,64.1,0,65.3,9.5,1.3,82.5,5.8,0.1,59.5,18.8,60.3,0.4,2.4,1.6,75.7,1.3,48.2,26.2,5,1.8,52.1,47.1,0.6,0.4,0.1,0.3
Ratera (34),Rural,5572,77.6,20.8,1.5,23.6,8.5,0.3,61.5,3.5,1.6,0,1,0,92.1,7,0.5,0,71.1,5.1,12.1,0.1,53.7,0,28.9,0.1,72.5,10.7,9.3,74.8,3.7,0.2,80.5,21.8,69.9,0.8,8.3,2.2,70.1,2.3,32.2,24.4,7.8,3.5,59.8,39.6,0.5,0.3,0.2,0.1
Bohal (37),Rural,1919,52.6,44.9,2.6,92.9,0.6,0,0,2.3,4,0,0,0,86.6,13.1,0.3,0,47.4,0.3,44.6,0,0,0,52.6,2.6,66,17.4,0.3,82.9,1.4,0,42.6,16.9,57.4,0.6,2.3,4.6,65.7,4.3,42.6,23.1,2.6,2,38.3,60.9,0.9,0.9,0,0
Siper (36),Rural,2441,49.8,46.5,3.8,86.9,4.9,0,0.7,1.8,2.4,0.2,3.1,0,95.1,4.9,0,0,65.5,0.4,59.1,0.2,2.7,3.1,34.5,0.2,65,19.2,1.1,76.1,17.3,0,81.2,25.9,71.2,0.7,1.3,2.2,83.8,0.4,60.2,27.7,2.2,1.1,33.2,64.8,1.8,0.9,0.9,0.2
Jamalpur (40),Rural,8846,49.1,47.8,3,88.8,3.8,0.9,3,2.3,0.4,0.1,0.1,0.5,77.2,21.7,0,0.5,59,2.4,44.2,1.2,5.6,5.6,41,0.1,59.1,13.8,4.7,90.6,31.3,0.4,59.9,19.3,50.4,0.9,3.8,3.2,58.7,3.9,41.6,18.5,4,1.8,38.3,60.4,1.2,1,0.2,0
Paposa (41),Rural,3731,36.6,56.1,7.3,79.4,0.9,0.1,0.9,15,0.3,0.1,0,0,82.8,13.8,0,0.1,48.4,1.1,11.2,2,34,0,51.6,0.4,52,15.3,1.5,97,7.7,0,64.8,24,45.5,1.1,2.8,3.5,66.3,2.6,33.3,20.1,3.9,0.8,40.1,59.1,0.8,0.7,0.1,0
Aurangnagar (134),Rural,387,18.8,81.2,0,94.2,5.8,0,0,0,0,0,0,0,72.5,27.5,0,0,36.2,4.3,29,0,0,2.9,63.8,0,52.2,30.4,0,42,30.4,0,62.3,11.6,34.8,5.8,5.8,0,88.4,1.4,21.7,26.1,7.2,7.2,59.4,39.1,1.4,1.4,0,0
Barsi (133),Rural,23327,36.4,55.5,8.1,44.4,7.3,2.2,17.4,18,2.7,0,0.5,0.5,85.9,13,0.2,0.2,54.5,1.6,26.4,0.4,23.9,2.1,45.5,1.4,61,11.9,4,72.6,14.1,0.3,51,20.9,50.2,0.9,3.6,3.4,61.2,2.8,56,17.8,3.3,1.4,38.1,59.7,2.1,1.7,0.4,0
